Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Lookfy Gallery ID (product.metafields.custom.lookfy_gallery_id),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Bag/Case material (product.metafields.shopify.bag-case-material),Brush material (product.metafields.shopify.brush-material),Cleaning surfaces (product.metafields.shopify.cleaning-surfaces),Color (product.metafields.shopify.color-pattern),Cutter options (product.metafields.shopify.cutter-options),Dry/Wet cleaning (product.metafields.shopify.dry-wet-cleaning),Fabric (product.metafields.shopify.fabric),Food storage material (product.metafields.shopify.food-storage-material),Handwear material (product.metafields.shopify.handwear-material),Hardware material (product.metafields.shopify.hardware-material),Material (product.metafields.shopify.material),Shape (product.metafields.shopify.shape),Tableware material (product.metafields.shopify.tableware-material),Tool/Utensil material (product.metafields.shopify.tool-utensil-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
non-slip-textured-table-protector-sheet,Non-Slip Textured Table Protector Sheet,"<p>Waterproof, Oilproof &amp; Heat-Resistant Surface Cover / Drawer Liner<br></p>
<p data-start=""347"" data-end=""659"">Protect your furniture with style using our <strong data-start=""391"" data-end=""434"">Non-Slip Textured Table Protector Sheet</strong>, designed to keep your surfaces clean, safe, and scratch-free. Made with high-quality waterproof material, this multipurpose sheet is perfect for <strong data-start=""581"" data-end=""658"">tables, kitchen shelves, drawers, cabinets, countertops, and dining areas</strong>.</p>
<p data-start=""661"" data-end=""832"">The elegant textured pattern not only enhances grip but also adds a premium look to your home. Easy to cut, install, and clean — making it a must-have for every household.</p>
<h3 data-start=""834"" data-end=""854""><strong data-start=""838"" data-end=""854"">Key Features</strong></h3>
<ul data-start=""855"" data-end=""1177"">
<li data-start=""855"" data-end=""905"">
<p data-start=""857"" data-end=""905"">✔️ <strong data-start=""860"" data-end=""888"">Non-slip textured design</strong> for extra grip</p>
</li>
<li data-start=""906"" data-end=""955"">
<p data-start=""908"" data-end=""955"">✔️ <strong data-start=""911"" data-end=""953"">Waterproof, oilproof &amp; stain-resistant</strong></p>
</li>
<li data-start=""956"" data-end=""1010"">
<p data-start=""958"" data-end=""1010"">✔️ <strong data-start=""961"" data-end=""988"">Heat-resistant material</strong> protects your table</p>
</li>
<li data-start=""1011"" data-end=""1089"">
<p data-start=""1013"" data-end=""1089"">✔️ Ideal for <strong data-start=""1026"" data-end=""1087"">kitchen shelves, drawers, fridge racks, tables &amp; cabinets</strong></p>
</li>
<li data-start=""1090"" data-end=""1140"">
<p data-start=""1092"" data-end=""1140"">✔️ <strong data-start=""1095"" data-end=""1120"">Easy to cut &amp; install</strong> according to size</p>
</li>
<li data-start=""1141"" data-end=""1177"">
<p data-start=""1143"" data-end=""1177"">✔️ Durable and reusable material</p>
</li>
</ul>
<h3 data-start=""1179"" data-end=""1205""><strong data-start=""1183"" data-end=""1205"">Why You’ll Love It</strong></h3>
<p data-start=""1206"" data-end=""1397"">This sheet keeps your furniture new-looking while offering long-lasting protection against spills, scratches, and daily wear. Perfect for organizing spaces while improving overall aesthetics.<br></p>
<h3 data-start=""1179"" data-end=""1205""><strong data-start=""1183"" data-end=""1205"">Package include: 1 Roll</strong></h3>",TREVO,Home & Garden > Linens & Bedding > Table Linens > Tablecloths,shelf liner,"home essentials, kitchen organizer, New",true,Title,Default Title,,,,,,,,TRV-MAT-NSP-01,0.0,shopify,1,deny,manual,249.00,379.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0655/7417/4829/files/WhatsAppImage2025-12-01at5.46.13PM_1.jpg?v=1764598275,1,"",false,,,4143,,,,,,,,,,,,,,,,beige; geometric,,,plastic; synthetic,,,,,trolly,,,,kg,,,active
non-slip-textured-table-protector-sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0655/7417/4829/files/WhatsAppImage2025-12-01at5.46.13PM_2.jpg?v=1764598275,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-slip-textured-table-protector-sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0655/7417/4829/files/WhatsAppImage2025-12-01at5.46.13PM_3.jpg?v=1764598275,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-slip-textured-table-protector-sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0655/7417/4829/files/WhatsAppImage2025-12-01at5.46.13PM.jpg?v=1764598275,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-slip-textured-table-protector-sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0655/7417/4829/files/WhatsAppImage2025-12-01at5.46.14PM_1.jpg?v=1764598275,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-slip-textured-table-protector-sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0655/7417/4829/files/WhatsAppImage2025-12-01at5.46.14PM.jpg?v=1764598275,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-slip-textured-table-protector-sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0655/7417/4829/files/WhatsAppImage2025-12-01at5.46.15PM_1.jpg?v=1764598275,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-slip-textured-table-protector-sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0655/7417/4829/files/WhatsAppImage2025-12-01at5.46.15PM_2.jpg?v=1764598275,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-slip-textured-table-protector-sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0655/7417/4829/files/WhatsAppImage2025-12-01at5.46.15PM.jpg?v=1764598275,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-slip-textured-table-protector-sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0655/7417/4829/files/WhatsAppImage2025-12-01at5.46.16PM_1.jpg?v=1764598275,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
